Sample,X(ms) [03.09.0265 13:31:19 935 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
108,33414.012800,80,80.9787292480469,46.9499397277832
109,33726.515300,80,80.2408828735352,48.3843688964844
110,34039.039700,80,79.9081268310547,95.6272888183594
111,34351.525200,80,81.1017074584961,37.8728294372559
112,34679.655900,80,79.8683471679688,47.7424583435059
113,34976.552100,80,80.360237121582,26.4463005065918
114,35289.040100,80,79.00390625,57.2467308044434
115,35601.560200,80,80.17578125,46.1087684631348
116,35929.691000,80,80.5447006225586,42.9566383361816
117,36226.550800,80,79.00390625,59.6337699890137
118,36539.073500,80,79.618766784668,37.4669799804688
119,36851.560700,80,79.0183715820313,62.3533401489258
120,37164.062800,80,78.3854064941406,76.7855072021484
121,37476.568800,80,79.1232604980469,38.3816604614258
122,37789.070900,80,78.4794464111328,63.5088195800781
123,38101.575200,80,78.5083923339844,52.779369354248
124,38414.079900,80,78.7543411254883,65.5342788696289
125,38726.586300,80,78.8266830444336,68.6973876953125
126,39039.089700,80,78.8809280395508,67.0968170166016
127,39351.612800,80,78.5083923339844,73.3953170776367
128,39664.116700,80,79.8647232055664,29.4041595458984
129,39976.602600,80,79.3728332519531,66.9460830688477
130,40289.104700,80,79.1811294555664,56.8827896118164
131,40601.609800,80,79.5572891235352,62.8413696289063
132,40914.134200,80,79.1449737548828,100
133,41226.619700,80,79.8683471679688,45.7788887023926
134,41539.141500,80,79.8032379150391,63.1998291015625
135,41851.628200,80,79.3728332519531,77.8551635742188
136,42164.132900,80,79.3113403320313,67.6378936767578
137,42476.636400,80,79.3800735473633,100
138,42789.141500,80,79.9913177490234,63.1543617248535
139,43101.645300,80,79.8032379150391,65.6265563964844
140,43414.149600,80,79.7743072509766,51.5718307495117
141,43726.653900,80,80.9787292480469,54.6836204528809
142,44039.156500,80,79.6296310424805,100
143,44344.574500,80,79.618766784668,66.4726867675781
144,44657.098400,80,79.4740982055664,93.9561462402344
145,44969.583100,80,79.4957962036133,67.4572067260742
146,45282.086500,80,79.8683471679688,94.8296279907227
147,45594.591600,80,80.732780456543,72.0712432861328
148,45907.097600,80,79.9370727539063,66.1508636474609
149,46219.600600,80,79.8719635009766,97.7401733398438
150,46547.731400,80,79.8177032470703,63.568489074707
151,46844.613000,80,81.2246780395508,38.8998718261719
152,47157.114700,80,81.4923324584961,48.9638710021973
153,47469.618500,80,79.5066528320313,100
154,47782.123700,80,79.6223907470703,88.1721496582031
155,48094.626200,80,79.3728332519531,65.5744018554688
156,48422.776700,80,80.8557586669922,38.612419128418
157,48719.653200,80,81.1631927490234,52.2097702026367
158,49032.139100,80,79.618766784668,57.6266708374023
159,49360.268100,80,79.7743072509766,80.6241302490234
160,49657.166400,80,79.7743072509766,62.1739501953125
161,49969.671600,80,80.4795989990234,23.6698608398438
162,50282.157000,80,80.8557586669922,43.1596412658691
163,50594.660000,80,79.1268768310547,68.9222564697266
164,50907.183600,80,80.1106719970703,25.8966407775879
165,51218.761500,80,79.3764419555664,68.8382797241211
166,51531.266200,80,79.9877014160156,27.7250595092773
167,51843.752500,80,79.3728332519531,66.2705001831055
168,52152.332200,80,78.8881607055664,100
169,52464.818100,80,80.2336502075195,16.550350189209
170,52777.322800,80,79.00390625,70.9752502441406
171,53089.845500,80,79.1160278320313,73.0427093505859
172,53402.329700,80,79.4813385009766,63.6492309570313
173,53714.852800,80,80.2372665405273,80.8044815063477
174,54027.357900,80,79.3981475830078,69.7984619140625
175,54339.861700,80,79.0364532470703,93.7213821411133
176,54652.348500,80,80.1106719970703,30.1770305633545
177,54964.850200,80,79.6802673339844,64.5411224365234
178,55277.374100,80,79.6223907470703,100
179,55589.860900,80,79.8357925415039,62.1500701904297
180,55902.365600,80,79.6223907470703,86.7033920288086
181,56214.868200,80,80.4795989990234,22.2711791992188
182,56527.372400,80,80.8557586669922,55.7902297973633
183,56839.878000,80,79.4994201660156,100
184,57168.007500,80,80.1106719970703,33.9842796325684
185,57480.511800,80,79.2498626708984,70.3493423461914
186,57777.390800,80,79.3511276245117,64.072021484375
187,58089.896400,80,79.4885711669922,54.1117706298828
188,58402.400200,80,81.1487274169922,53.3339996337891
189,58714.922000,80,79.7417526245117,56.9167785644531
190,59027.425900,80,80.360237121582,59.9786796569824
191,59328.018300,80,79.9406814575195,62.1768913269043
192,59640.502500,80,80.360237121582,75.9761199951172
193,59953.026800,80,81.4417037963867,51.169750213623
194,60265.518300,80,79.618766784668,56.3389587402344
195,60578.017000,80,80.2372665405273,59.4032096862793
196,60890.539200,80,79.5572891235352,68.4589767456055
197,61203.023400,80,79.9877014160156,35.918270111084
198,61515.548600,80,81.4019088745117,50.8005218505859
199,61828.052500,80,79.9949264526367,94.6250991821289
200,62140.556800,80,80.1143035888672,61.7066993713379
201,62453.061500,80,79.618766784668,74.3591003417969
202,62765.546500,80,80.732780456543,50.5344085693359
203,63078.069200,80,81.5321197509766,50.1055183410645
204,63390.553800,80,79.5030364990234,64.3132171630859
205,63703.057600,80,80.2372665405273,57.3011703491211
206,64015.582900,80,79.3728332519531,80.6216888427734
207,64343.714100,80,80.4579010009766,53.4805297851563
208,64640.570500,80,80.9787292480469,44.0647201538086
209,64953.094800,80,79.3511276245117,69.2442169189453
210,65265.580700,80,79.8828125,37.6022300720215
211,65578.083700,80,79.0581588745117,70.8826293945313
212,65890.607700,80,80.1685485839844,59.2394599914551
213,66212.598200,80,80.9714965820313,1.49763894081116
214,66509.455000,80,79.1341094970703,74.216667175293
215,66821.978500,80,80.2336502075195,27.5889091491699
216,67124.588200,80,79.5572891235352,69.0068969726563
217,67437.112500,80,80.3566284179688,14.3356800079346
218,67749.598400,80,79.8683471679688,61.6817016601563
219,68062.120200,80,79.3728332519531,70.6758422851563
220,68374.608300,80,80.2372665405273,41.7549209594727
221,68687.111700,80,79.4957962036133,67.8364334106445
222,68999.615500,80,79.2824096679688,75.8561477661133
223,69312.118500,80,80.8557586669922,54.990161895752
224,69624.622400,80,80.917236328125,56.9226188659668
225,69937.128400,80,79.00390625,87.6455917358398
226,70249.630900,80,80.2987518310547,58.972339630127
227,70562.136900,80,79.4957962036133,70.6566772460938
228,70874.658700,80,80.4217300415039,55.300121307373
229,71187.145000,80,80.917236328125,54.4997406005859
230,71499.666800,80,79.618766784668,69.5764312744141
231,71812.171500,80,80.17578125,61.6722602844238
232,72124.656100,80,79.3728332519531,62.4507904052734
233,72437.162100,80,80.6676788330078,56.5034484863281
234,72749.685200,80,80.9751129150391,13.1124897003174
235,73062.189500,80,79.618766784668,62.2409896850586
236,73374.689100,80,80.17578125,63.7713088989258
237,73687.180100,80,79.3728332519531,71.6804962158203
238,74015.793700,80,80.6676788330078,56.517879486084
239,74297.046700,80,81.0800018310547,0
240,74609.551800,80,79.8430328369141,63.8093490600586
241,74922.076200,80,80.3855590820313,39.7691116333008
242,75234.578800,80,79.3800735473633,78.3665084838867
243,75547.086500,80,80.6387405395508,58.141960144043
244,75859.587300,80,81.221061706543,0.0897256731987
245,76172.092000,80,79.4957962036133,67.1823425292969
246,76484.577900,80,80.8449096679688,20.9204807281494
247,76797.100100,80,79.9298324584961,65.9525833129883
248,77109.586500,80,80.4759826660156,52.4298782348633
249,77422.090700,80,81.4670104980469,27.0163097381592
250,77734.595400,80,79.618766784668,67.3094711303711
251,78047.098000,80,80.1106719970703,36.5270805358887
252,78359.603100,80,79.4017562866211,69.8336486816406
253,78672.107000,80,80.4651336669922,14.228569984436
254,79000.238600,80,80.801513671875,55.5488700866699
255,79297.116800,80,80.400016784668,57.6088905334473
256,79609.620700,80,79.7381362915039,48.1730308532715
257,79922.142900,80,79.1268768310547,68.5065231323242
258,80234.627900,80,80.2336502075195,15.3534898757935
259,80547.134400,80,80.732780456543,54.0576095581055
260,80859.657000,80,79.0111389160156,100
261,81172.139900,80,78.8809280395508,69.1520233154297
262,81484.663900,80,79.0617828369141,71.8003692626953
263,81797.148500,80,80.3529968261719,2.14612293243408
264,82103.068600,80,79.6802673339844,64.2457504272461
265,82415.589500,80,79.2570877075195,100
266,82728.076300,80,79.0907135009766,70.641227722168
267,83040.578400,80,79.4957962036133,80.6258697509766
268,83353.084800,80,79.00390625,72.0443115234375
269,83665.607100,80,80.4832229614258,58.7391891479492
270,83978.111300,80,79.1304931640625,100
271,84290.596800,80,79.3113403320313,66.0530319213867
272,84618.725900,80,79.6223907470703,80.4511795043945
273,84915.624600,80,79.2209167480469,67.7959594726563
274,85228.128900,80,80.7291564941406,33.5457611083984
275,85540.633200,80,80.7942733764648,56.7797393798828
276,85853.119500,80,79.4957962036133,67.7704010009766
277,86165.641700,80,79.1594314575195,99.1223373413086
278,86478.145600,80,79.1051788330078,72.1696166992188
279,86790.650700,80,80.8521423339844,30.6460990905762
280,87103.136600,80,81.0546875,58.3758087158203
281,87415.640400,80,79.618766784668,62.2388114929199
282,87728.163100,80,80.2336502075195,39.1614189147949
283,88040.666500,80,79.4343185424805,72.059211730957
284,88353.171200,80,80.3529968261719,18.0946197509766
285,88665.658000,80,80.732780456543,58.0398788452148
286,88978.160500,80,80.732780456543,72.2229385375977
287,89290.666500,80,80.1179122924805,56.3259696960449
288,89603.188300,80,79.4343185424805,71.0978622436523
289,89915.672900,80,80.2336502075195,27.1520690917969
290,90228.197300,80,79.8068466186523,63.7648696899414
291,90540.682300,80,79.2570877075195,100
292,90868.831900,80,80.6025772094727,28.9277095794678
293,91165.709300,80,79.9913177490234,64.8009796142578
294,91478.194300,80,80.8485336303711,13.2121200561523
295,91790.718300,80,80.8557586669922,53.0973701477051
296,92103.223000,80,79.2606964111328,100
297,92415.708800,80,79.5572891235352,66.4745178222656
298,92743.838800,80,79.7417526245117,82.6843032836914
299,93040.718300,80,80.7002334594727,5.37483596801758
300,93353.239600,80,80.1143035888672,62.8657608032227
301,93665.726000,80,79.8719635009766,83.7888107299805
302,93978.247800,80,79.9768524169922,58.3176803588867
303,94290.733200,80,79.9913177490234,82.7966232299805
304,94603.257600,80,79.9623794555664,58.952579498291
305,94931.388400,80,80.0528030395508,60.6550216674805
306,95228.245200,80,79.7453689575195,100
307,95540.749500,80,79.618766784668,63.8541412353516
308,95853.273800,80,79.8104705810547,76.3360137939453
309,96165.777700,80,79.6802673339844,65.8312911987305
310,96478.282400,80,79.4957962036133,60.7020606994629
311,96790.786300,80,80.917236328125,53.4637489318848
312,97103.273000,80,79.9406814575195,58.9987907409668
313,97415.775600,80,79.9949264526367,93.1122512817383
314,97728.281500,80,79.4343185424805,64.2528762817383
315,98040.784100,80,80.732780456543,45.814769744873
316,98353.309300,80,81.4055328369141,50.2210807800293
317,98665.812300,80,79.3764419555664,99.0005798339844
318,98978.296500,80,79.7526016235352,62.6054916381836
319,99284.581800,80,79.1413497924805,66.4806213378906
320,99597.086500,80,80.1287612915039,63.8615798950195
321,99909.590800,80,80.7834167480469,54.0952911376953
322,100222.095100,80,79.0075225830078,100
323,100534.598900,80,79.4957962036133,59.9662208557129
324,100847.084800,80,79.1883697509766,67.4178085327148
325,101159.587400,80,79.8647232055664,36.7405204772949
326,101472.091700,80,80.2372665405273,58.6692199707031
327,101784.616100,80,80.1143035888672,80.6729202270508
328,102097.101900,80,79.4994201660156,98.7703399658203
329,102409.623700,80,78.8194427490234,73.7054214477539
330,102722.128500,80,79.8647232055664,7.87173080444336
331,103034.614800,80,80.360237121582,58.4733581542969
332,103347.118600,80,80.1179122924805,90.8404312133789
333,103659.623300,80,79.2498626708984,62.6191902160645
334,103972.146800,80,79.2498626708984,70.8329162597656
335,104284.631000,80,80.2372665405273,46.1220207214355
336,104597.134400,80,80.5736389160156,53.3189506530762
337,104909.640400,80,80.360237121582,74.5665969848633
338,105222.162700,80,79.3728332519531,67.8037033081055
339,105534.666900,80,79.2498626708984,87.364860534668
340,105847.153700,80,79.1883697509766,68.0586090087891
341,106171.319700,80,80.4832229614258,57.8683280944824
342,106468.196600,80,80.1902465820313,77.9284210205078
343,106780.700400,80,79.4343185424805,65.2475128173828
344,107091.347400,80,80.2625885009766,74.4409027099609
345,107404.322100,80,79.0653915405273,68.5615692138672
346,107716.826800,80,80.2155685424805,60.7521591186523
347,108029.331100,80,80.5157699584961,55.1010513305664
348,108357.443100,80,79.1883697509766,66.7941131591797
349,108654.318700,80,79.2498626708984,78.7805328369141
350,108966.843100,80,79.8538665771484,61.1315383911133
351,109279.327200,80,80.4759826660156,53.9721908569336
352,109591.834100,80,80.7291564941406,59.8305206298828
353,109904.336700,80,79.4921875,63.4735412597656
354,110216.840500,80,79.5102691650391,92.5147018432617
355,110529.364900,80,79.5464401245117,59.7963409423828
356,110841.869200,80,80.8557586669922,50.7030410766602
357,111154.355000,80,80.732780456543,60.2719993591309
358,111466.859700,80,79.2353897094727,62.9677696228027
359,111779.362300,80,79.2534713745117,97.0261535644531
360,112091.886300,80,79.1919937133789,66.1298980712891
361,112404.372200,80,80.1143035888672,54.7652282714844
362,112716.876400,80,80.7002334594727,60.0424499511719
363,113029.399100,80,79.4704818725586,58.1269912719727
364,113341.885800,80,80.2987518310547,60.4972114562988
365,113654.387100,80,79.00390625,79.412956237793
366,113982.538000,80,80.7183227539063,44.0158386230469
367,114281.039100,80,80.8231964111328,57.1244010925293
368,114593.563100,80,79.0111389160156,67.2401580810547
369,114906.049000,80,80.0528030395508,62.2205200195313
370,115218.571200,80,79.1738967895508,72.4339370727539
371,115531.057500,80,80.360237121582,58.275749206543
372,115843.560500,80,80.9787292480469,41.9258499145508
373,116156.084900,80,79.1883697509766,57.7347183227539
374,116468.588300,80,80.0528030395508,62.3256187438965
375,116781.093000,80,79.00390625,71.9380798339844
376,117093.577600,80,80.1613235473633,60.6621894836426
377,117406.081900,80,81.0944671630859,15.7398700714111
378,117718.586600,80,79.5572891235352,68.3636779785156
379,118031.110100,80,80.1106719970703,44.6933212280273
380,118343.594300,80,79.4994201660156,88.5592498779297
381,118656.099400,80,79.4957962036133,68.4352035522461
382,118968.602400,80,79.7164306640625,49.655029296875
383,119281.126800,80,80.7002334594727,62.7551803588867
384,119593.631500,80,79.2498626708984,87.2097091674805
385,119906.117000,80,79.7345199584961,49.2970886230469
386,120218.620000,80,79.4957962036133,70.0105819702148
387,120531.143500,80,80.1143035888672,60.4562911987305
388,120843.628500,80,81.4706268310547,55.693920135498
389,121147.418500,80,79.9913177490234,66.4969863891602
390,121459.905200,80,80.4832229614258,60.9601783752441
391,121772.408700,80,79.9298324584961,63.9993782043457
392,122093.259900,80,80.1143035888672,86.8974227905273
393,122374.512500,80,81.5936126708984,52.8743095397949
394,122687.036400,80,79.9298324584961,57.0494194030762
395,122999.541100,80,80.7942733764648,56.3093605041504
396,123312.024900,80,80.2408828735352,65.4496917724609
397,123624.550100,80,80.7400131225586,43.4078407287598
398,123937.035500,80,81.4417037963867,51.2876014709473
399,124249.539800,80,79.8647232055664,53.0314102172852
400,124562.042400,80,80.4217300415039,58.4242210388184
401,124874.565900,80,79.2498626708984,76.337646484375
402,125187.070600,80,79.3764419555664,100
403,125499.556100,80,80.7291564941406,57.0211296081543
404,125812.060800,80,79.5572891235352,41.5443801879883
405,126124.565500,80,80.0528030395508,62.0364608764648
406,126437.089000,80,79.4957962036133,65.394172668457
407,126749.592400,80,79.5536727905273,60.0943298339844
408,127062.095800,80,81.1487274169922,37.6153907775879
409,127374.582600,80,79.4957962036133,60.8451995849609
410,127702.710400,80,79.9298324584961,63.6477317810059
411,127999.609500,80,79.1449737548828,84.0902481079102
412,128312.093700,80,79.2498626708984,68.2224426269531
413,128624.598400,80,80.9751129150391,0
414,128937.101800,80,79.7417526245117,68.0612030029297
415,129251.795300,80,79.4957962036133,73.1900405883789
416,129564.297800,80,79.618766784668,66.7527770996094
417,129876.803800,80,80.7942733764648,57.1857986450195
418,130189.305500,80,80.360237121582,77.2686233520508
419,130501.810200,80,79.7417526245117,81.7029418945313
420,130814.334200,80,79.0653915405273,69.9993133544922
421,131126.820100,80,80.1143035888672,44.7516098022461
422,131439.324400,80,80.2155685424805,63.1105690002441
423,131751.829100,80,79.9913177490234,70.6080474853516
424,132064.331600,80,80.360237121582,60.3736915588379
425,132376.838900,80,79.9913177490234,68.4468994140625
426,132689.341900,80,80.4868316650391,74.334228515625
427,133001.864600,80,79.4740982055664,84.1445465087891
428,133314.348700,80,80.9751129150391,0.630308210849762
429,133626.872700,80,81.2789306640625,54.3051414489746
430,133939.376500,80,80.1215286254883,62.8855514526367
431,134251.862800,80,80.1143035888672,81.1940536499023
432,134564.366300,80,79.8032379150391,61.0730590820313
433,134876.890600,80,79.7598266601563,96.7321395874023
434,135189.374400,80,80.917236328125,53.4145088195801
435,135501.898300,80,79.8213272094727,75.1094131469727
436,135814.384700,80,80.2987518310547,58.9245986938477
437,136126.888900,80,79.4957962036133,71.1807479858398
438,136439.391900,80,80.5736389160156,50.4728393554688
439,136751.915900,80,81.0546875,55.3706016540527
440,137057.691000,80,79.4957962036133,63.1291313171387
441,137370.212800,80,79.9298324584961,61.0207595825195
442,137682.717100,80,79.1051788330078,77.8560791015625
443,137995.204300,80,80.360237121582,54.4354209899902
444,138307.726100,80,81.0980911254883,37.7440414428711
445,138620.231200,80,79.1630477905273,69.4501190185547
446,138932.716700,80,79.3113403320313,66.4292984008789
447,139245.220500,80,78.8809280395508,73.9683227539063
448,139557.742300,80,80.1215286254883,58.4875297546387
449,139870.247000,80,80.9787292480469,34.9459800720215
450,140182.733300,80,79.0653915405273,72.0269470214844
451,140495.235900,80,79.5572891235352,65.6959075927734
452,140807.741900,80,79.00390625,81.5319900512695
453,141120.245700,80,79.8104705810547,64.6297836303711
454,141432.768400,80,80.4723663330078,16.3526706695557
455,141745.256000,80,78.8809280395508,75.3323135375977
456,142057.777400,80,79.9877014160156,38.5777397155762
457,142370.263700,80,79.1268768310547,87.2548828125
458,142682.767600,80,80.2372665405273,61.5613899230957
459,142995.290200,80,80.9751129150391,27.173469543457
460,143307.776500,80,80.17578125,68.428108215332
461,143620.280800,80,80.3566284179688,31.3447303771973
462,143932.803100,80,79.4957962036133,69.9963302612305
463,144245.289800,80,80.4723663330078,26.4344997406006
464,144557.793600,80,80.9787292480469,55.6543197631836
465,144870.315500,80,79.5211181640625,70.2696685791016
466,145182.822300,80,80.4795989990234,25.1637992858887
