Sample,X(ms) [10.09.0265 14:26:39 987 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
128,39170.837300,80,77.3835372924805,79.6833572387695
129,39519.087300,80,77.275016784668,84.5535888671875
130,39793.281800,80,79.618766784668,11.7265501022339
131,40104.501200,80,78.6205062866211,40.9246711730957
132,40420.726000,80,78.8737030029297,34.1917991638184
133,40825.013300,80,76.9133377075195,96.0442276000977
134,41080.197200,80,77.5209732055664,76.9117965698242
135,41359.396100,80,78.2515869140625,52.3594093322754
136,41670.614700,80,78.3167037963867,50.5189018249512
137,42009.856600,80,78.3094635009766,52.4713287353516
138,42311.071100,80,78.1394729614258,57.7679595947266
139,42598.276900,80,78.8664627075195,32.531078338623
140,42926.507200,80,77.9260711669922,64.6466064453125
141,43212.711000,80,77.275016784668,84.6770172119141
142,43528.937500,80,77.6439514160156,73.0964126586914
143,44411.562200,80,77.2786407470703,85.5634994506836
144,44516.638600,80,77.0326919555664,92.8125305175781
145,44540.655200,80,77.0326919555664,92.8125305175781
146,44771.819100,80,77.6728897094727,76.3727722167969
147,45233.147400,80,78.2624435424805,53.8852310180664
148,45388.256700,80,78.6313629150391,42.4507484436035
149,45698.478100,80,77.1520462036133,88.3799667358398
150,46051.729500,80,78.016487121582,62.3461494445801
151,46381.962900,80,78.6422119140625,42.0356216430664
152,46620.132600,80,77.9550018310547,63.4011917114258
153,46932.356200,80,77.2786407470703,86.5284881591797
154,47244.578600,80,77.5173568725586,76.2722015380859
155,47541.788100,80,78.0201110839844,62.5593605041504
156,47857.011200,80,79.2426223754883,19.7947196960449
157,48203.258200,80,78.1322326660156,57.206901550293
158,48523.486600,80,78.2877578735352,53.200870513916
159,48799.684200,80,77.6439514160156,73.477912902832
160,49092.890400,80,78.2552032470703,52.2359886169434
161,49390.100800,80,78.8447570800781,32.1158103942871
162,49699.324000,80,77.6439514160156,73.2310562133789
163,50051.572600,80,78.2552032470703,52.617488861084
164,50334.773900,80,77.2786407470703,85.5634994506836
165,50621.977500,80,78.3854064941406,50.0364303588867
166,50933.197900,80,78.9822006225586,27.4254894256592
167,51244.418200,80,77.6692733764648,76.6423187255859
168,51566.650600,80,78.016487121582,61.5157890319824
169,51853.852600,80,77.3980026245117,80.8391876220703
170,52174.082300,80,78.6024322509766,39.2414398193359
171,52479.295800,80,77.6439514160156,73.1524963378906
172,52779.509600,80,77.6692733764648,76.496452331543
173,53087.729100,80,78.2624435424805,52.9875717163086
174,53388.941800,80,78.2841415405273,53.1671905517578
175,53700.164300,80,78.2624435424805,53.8515701293945
176,54013.387300,80,77.5282135009766,79.3465270996094
177,54323.607400,80,78.7254028320313,39.1516609191895
178,54659.846300,80,77.7669219970703,69.2251434326172
179,54973.073200,80,77.5390625,78.6172103881836
180,55249.266500,80,77.6439514160156,73.0851821899414
181,55549.481600,80,78.1466979980469,59.1032981872559
182,55867.707700,80,79.4957962036133,15.5192499160767
183,56165.916200,80,77.9260711669922,64.4334030151367
184,56481.139800,80,77.6620330810547,75.1611404418945
185,56798.365300,80,77.6439514160156,73.1524963378906
186,57104.589300,80,78.1394729614258,57.6220893859863
187,57458.834700,80,78.5771102905273,40.4871292114258
188,57758.050700,80,77.0290832519531,92.3524780273438
189,58049.255100,80,78.3094635009766,52.2805595397949
190,58354.476700,80,77.7669219970703,69.2812423706055
191,58654.686300,80,78.6747665405273,38.298900604248
192,58987.922200,80,78.016487121582,61.5606918334961
193,59284.132300,80,77.7669219970703,69.3934631347656
194,59590.349500,80,78.3275527954102,50.541389465332
195,59902.571000,80,76.9024887084961,96.1451568603516
196,60259.826600,80,78.5083923339844,46.2434501647949
197,60529.017000,80,79.2209167480469,20.0529804229736
198,60842.239600,80,79.3438873291016,19.9741401672363
199,61153.461200,80,78.016487121582,61.5382499694824
200,61515.721700,80,77.3980026245117,80.7157363891602
201,61818.936300,80,77.5209732055664,76.5303115844727
202,62093.128200,80,77.8826675415039,64.5681304931641
203,62403.352100,80,77.9550018310547,64.4447402954102
204,62711.568600,80,78.7036972045898,39.9370307922363
205,63011.782300,80,77.2786407470703,84.6994781494141
206,63368.035100,80,77.8899002075195,64.7028198242188
207,63641.228800,80,77.6439514160156,73.1076278686523
208,63935.438300,80,77.8935165405273,65.3873062133789
209,64250.664100,80,78.2190399169922,50.0253105163574
210,64555.879300,80,78.8809280395508,34.6967697143555
211,64857.094200,80,77.8935165405273,65.3873062133789
212,65215.348800,80,78.1394729614258,57.3415908813477
213,65486.540700,80,78.1394729614258,57.7230911254883
214,65777.747600,80,78.016487121582,61.5157890319824
215,66097.976500,80,77.9115982055664,67.7998809814453
216,66400.191300,80,77.6620330810547,73.2535705566406
217,66736.429800,80,78.5083923339844,46.2434501647949
218,67018.628700,80,78.8592300415039,32.3963890075684
219,67324.846700,80,78.0092468261719,59.4850311279297
220,67633.066600,80,77.275016784668,84.7443618774414
221,67946.288400,80,77.1411972045898,87.1905136108398
222,68264.514500,80,78.1213836669922,56.0398788452148
223,68575.737000,80,79.618766784668,11.6479902267456
224,68884.959700,80,78.1792526245117,60.9546089172363
225,69182.171400,80,79.2245330810547,21.4556102752686
226,69534.420400,80,78.1394729614258,57.824089050293
227,69816.619300,80,77.5245971679688,77.5511627197266
228,70118.833200,80,78.7181701660156,35.6731300354004
229,70420.045600,80,77.6439514160156,73.1300735473633
230,70736.271600,80,78.6241302490234,41.5642700195313
231,71080.517900,80,77.7669219970703,69.3373565673828
232,71342.702100,80,78.3745727539063,47.7809600830078
233,71655.927300,80,78.0201110839844,62.5593605041504
234,71967.145100,80,77.4016189575195,81.366569519043
235,72264.356300,80,77.8935165405273,65.3087692260742
236,72616.608800,80,77.8862762451172,64.444709777832
237,72894.806000,80,77.8935165405273,65.6902694702148
238,73199.021400,80,78.016487121582,61.6841201782227
239,73510.242100,80,78.1394729614258,57.7118682861328
240,73849.483700,80,78.3709487915039,48.6674003601074
241,74154.701900,80,77.4558715820313,83.756591796875
242,74446.909100,80,77.7669219970703,69.2588119506836
243,74748.123200,80,78.1647872924805,59.1592102050781
244,75098.372100,80,79.3728332519531,19.4019908905029
245,75379.571900,80,77.6439514160156,73.2086334228516
246,75656.771100,80,78.016487121582,61.5382499694824
247,75965.990400,80,77.1520462036133,88.7390289306641
248,76276.208700,80,78.1394729614258,57.6220893859863
249,76614.449100,80,78.7543411254883,38.5680084228516
250,76896.648400,80,77.4233169555664,84.0709228515625
251,77188.856900,80,78.2769088745117,55.6918792724609
252,77501.077900,80,77.275016784668,84.6770172119141
253,77814.305700,80,77.8754272460938,63.2889099121094
254,78178.560300,80,78.7290191650391,36.0658988952637
255,78462.763500,80,77.3980026245117,80.8054962158203
256,78759.974300,80,78.2552032470703,52.617488861084
257,79056.185300,80,77.7741622924805,70.908073425293
258,79357.401500,80,78.3854064941406,50.0700912475586
259,79667.618100,80,77.6692733764648,74.914306640625
260,79976.838700,80,77.3003463745117,87.5045471191406
261,80279.057300,80,77.7669219970703,69.2588119506836
262,80627.303100,80,77.3980026245117,80.783073425293
263,80914.504700,80,78.3817977905273,49.8344383239746
264,81199.710800,80,78.3854064941406,50.0813102722168
265,81532.943300,80,79.2498626708984,23.2059097290039
266,81822.153600,80,77.6403427124023,72.8382873535156
267,82119.360900,80,77.412467956543,82.1520919799805
268,82432.586100,80,77.1556701660156,88.9971313476563
