Sample,X(ms) [10.09.0265 14:29:51 416 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
147,45037.005300,80,80.9714965820313,51.3022003173828
148,45347.226600,80,80.9787292480469,52.1473999023438
149,45662.451100,80,80.4795989990234,58.8426818847656
150,45972.670700,80,79.2715530395508,79.3683471679688
151,46288.895400,80,80.0057830810547,60.3004188537598
152,46627.137500,80,80.8485336303711,46.3367004394531
153,46907.337500,80,79.5175018310547,78.9248580932617
154,47205.551200,80,80.4832229614258,53.8331718444824
155,47517.768400,80,79.2606964111328,77.4002532958984
156,47868.021100,80,79.9913177490234,58.852180480957
157,48144.214400,80,80.360237121582,59.2895584106445
158,48455.435600,80,78.7904968261719,89.0038833618164
159,48756.650500,80,78.7543411254883,83.9750366210938
160,49072.874800,80,79.7417526245117,59.9320182800293
161,49376.092000,80,79.9913177490234,59.1461791992188
162,49689.312900,80,80.2372665405273,56.6872596740723
163,50048.568700,80,80.8485336303711,46.4781799316406
164,50321.761500,80,80.3240737915039,51.1238708496094
165,50631.982900,80,79.9913177490234,61.1090393066406
166,50943.203200,80,79.9840927124023,55.1123886108398
167,51276.440000,80,80.1143035888672,57.5490608215332
168,51564.644400,80,80.360237121582,55.5383605957031
169,51862.858500,80,79.8683471679688,65.3624877929688
170,52175.079100,80,79.8719635009766,67.4290390014648
171,52514.322300,80,79.2462387084961,70.6081771850586
172,52802.528800,80,79.618766784668,63.116340637207
173,53101.736800,80,80.2372665405273,55.5494804382324
174,53412.963500,80,80.0636596679688,61.6432991027832
175,53744.193800,80,79.7417526245117,67.0961685180664
176,54022.392400,80,79.9877014160156,61.4906692504883
177,54330.612300,80,80.7291564941406,49.7177886962891
178,54669.852900,80,79.7417526245117,67.4852905273438
179,54957.055300,80,79.6223907470703,70.1272735595703
180,55269.277200,80,80.4832229614258,53.0434494018555
181,55617.526400,80,79.9949264526367,62.2998199462891
182,55908.734200,80,79.756217956543,63.9887313842773
183,56190.933500,80,79.8683471679688,62.4866905212402
184,56504.155300,80,79.7670669555664,73.6263809204102
185,56805.370600,80,80.3385391235352,57.3582496643066
186,57128.600300,80,79.4957962036133,72.0059661865234
187,57421.807000,80,79.7417526245117,64.7407073974609
188,57729.025300,80,79.8683471679688,62.7491493225098
189,58094.285300,80,80.360237121582,55.3169593811035
190,58371.481900,80,80.3529968261719,54.7338104248047
191,58661.688600,80,79.8683471679688,65.6267776489258
192,58956.898000,80,79.7417526245117,67.2631683349609
193,59269.121100,80,81.0438385009766,44.1328010559082
194,59604.360700,80,81.34765625,42.4775886535645
195,59894.569500,80,79.9877014160156,64.8798370361328
196,60204.786100,80,79.3728332519531,72.3577499389648
197,60502.997600,80,78.6313629150391,81.3077163696289
198,60832.230700,80,79.3692092895508,65.4584121704102
199,61127.443100,80,79.7381362915039,61.1896705627441
200,61440.664400,80,79.2498626708984,73.6296234130859
201,61752.885400,80,80.3566284179688,54.5600814819336
202,62072.112300,80,79.8683471679688,66.4992370605469
203,62365.322400,80,79.4089965820313,77.539306640625
204,62673.541000,80,80.6387405395508,51.4380989074707
205,63026.792100,80,78.8954010009766,85.1694564819336
206,63311.996500,80,79.1377334594727,75.9610595703125
207,63601.200700,80,79.7417526245117,63.3876991271973
208,63914.424200,80,79.3728332519531,70.7256622314453
209,64259.669100,80,79.7417526245117,64.7528076171875
210,64536.867800,80,79.6332473754883,72.4073333740234
211,64851.088100,80,80.7870330810547,47.8747901916504
212,65164.312500,80,79.618766784668,74.1458892822266
213,65473.530900,80,80.0708923339844,68.0508728027344
214,65786.752700,80,80.0455703735352,67.5016021728516
215,66084.963800,80,81.34765625,46.9971504211426
216,66417.203700,80,80.2336502075195,63.134880065918
217,66705.406000,80,80.9787292480469,50.3597984313965
218,67018.627700,80,79.9913177490234,66.3188400268555
219,67368.877100,80,80.0528030395508,61.6951293945313
220,67657.081900,80,80.4832229614258,55.4748687744141
221,67947.287300,80,80.4832229614258,55.4006996154785
222,68252.509300,80,80.1179122924805,63.5780982971191
223,68581.738600,80,81.2102127075195,42.5251502990723
224,68864.939900,80,80.3747100830078,62.221809387207
225,69173.160200,80,80.0238723754883,65.1511535644531
226,69591.456600,80,79.4957962036133,71.3020401000977
